epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6413,3.13881,7.35986,2.24557,0.83524,0.05882,0.04578,0.01141,2.57874,5.67018,1.50959,0.000405702,0.000405702,0.000405702
2,78.5181,2.66047,5.01807,1.76625,0.81416,0.09726,0.05012,0.01456,2.62475,5.88774,1.94038,0.000814227,0.000814227,0.000814227
3,118.383,2.54879,4.77557,1.70026,0.82696,0.11233,0.05565,0.01566,2.48614,7.06471,1.80144,0.0012145,0.0012145,0.0012145
4,157.048,2.50917,4.56973,1.66575,0.81629,0.08767,0.05953,0.01766,2.39203,4.77397,1.66395,0.00121287,0.00121287,0.00121287
5,195.701,2.41891,4.41941,1.68518,0.81847,0.09506,0.05922,0.01907,2.25683,4.67682,1.52217,0.0012005,0.0012005,0.0012005
6,233.859,2.39944,4.39867,1.63118,0.55359,0.08425,0.03898,0.01047,2.52137,5.40892,1.49419,0.00118812,0.00118812,0.00118812
7,272.722,2.37793,4.35847,1.63222,0.83585,0.08562,0.0767,0.02189,2.27981,4.80104,1.53652,0.00117575,0.00117575,0.00117575
8,311.724,2.34297,4.34248,1.63072,0.8204,0.0589,0.04627,0.01452,2.30339,5.13239,1.61411,0.00116337,0.00116337,0.00116337
9,350.376,2.27215,7.5912,1.57343,0.84003,0.07808,0.06014,0.01809,2.34107,4.62928,1.58334,0.001151,0.001151,0.001151
10,389.928,2.30924,4.31669,1.646,0.32181,0.08493,0.05357,0.01522,2.39215,4.96312,1.5623,0.00113863,0.00113863,0.00113863
11,429.065,2.32335,4.16041,1.59623,0.10855,0.10278,0.08232,0.0248,2.30089,4.39577,1.57149,0.00112625,0.00112625,0.00112625
12,467.633,2.28649,4.08586,1.62901,0.62456,0.10763,0.09009,0.02782,2.16139,4.51582,1.51661,0.00111388,0.00111388,0.00111388
13,506.234,2.27357,4.01458,1.59194,0.08512,0.09118,0.06,0.01742,2.16022,4.98145,1.46583,0.0011015,0.0011015,0.0011015
14,545.788,2.30225,4.06966,1.62303,0.07438,0.11447,0.05286,0.01421,2.25591,5.6454,1.49957,0.00108913,0.00108913,0.00108913
15,584.497,2.27962,3.95624,1.55748,0.10534,0.12962,0.10597,0.03119,2.23721,5.38069,1.5791,0.00107675,0.00107675,0.00107675
16,623.519,2.25259,3.95978,1.58465,0.68273,0.12817,0.10518,0.0303,2.18162,4.02059,1.54768,0.00106437,0.00106437,0.00106437
17,663.135,2.24392,3.842,1.5616,0.45349,0.14328,0.13482,0.04468,2.17639,4.15195,1.59296,0.001052,0.001052,0.001052
18,702.457,2.26496,3.84069,1.57615,0.35195,0.11712,0.10639,0.03334,2.22612,4.79818,1.56582,0.00103962,0.00103962,0.00103962
19,741.286,2.22969,3.78098,1.55828,0.38622,0.10817,0.08769,0.02795,2.18901,4.43068,1.55973,0.00102725,0.00102725,0.00102725
20,781.036,2.2024,3.68574,1.53949,0.37482,0.13912,0.1095,0.03366,2.07321,4.2134,1.48762,0.00101488,0.00101488,0.00101488
21,819.986,2.20066,3.7573,1.5507,0.41349,0.10516,0.08705,0.02614,2.18388,4.33957,1.51884,0.0010025,0.0010025,0.0010025
22,859.408,2.21081,3.65989,1.54927,0.35051,0.08904,0.07657,0.02236,2.3189,4.05486,1.52122,0.000990125,0.000990125,0.000990125
23,900.829,2.22265,3.71135,1.54399,0.42535,0.1309,0.10225,0.03079,2.12066,5.03997,1.48731,0.00097775,0.00097775,0.00097775
24,944.34,2.16685,3.66436,1.51857,0.64528,0.111,0.10464,0.03126,2.15883,4.18707,1.49329,0.000965375,0.000965375,0.000965375
25,987.449,2.14739,3.51035,1.48258,0.59785,0.11027,0.10068,0.03211,2.37118,4.07497,1.63343,0.000953,0.000953,0.000953
26,1031.79,2.17539,3.58093,1.51457,0.63869,0.13026,0.10294,0.03043,2.29935,4.49674,1.56996,0.000940625,0.000940625,0.000940625
27,1074.4,2.1521,3.47851,1.50111,0.41261,0.13578,0.10161,0.02783,2.23282,4.31183,1.54192,0.00092825,0.00092825,0.00092825
28,1117.03,2.14626,3.49865,1.49155,0.60894,0.12918,0.08401,0.02281,2.31376,4.3455,1.56562,0.000915875,0.000915875,0.000915875
29,1160.29,2.11633,3.53058,1.45979,0.64576,0.13501,0.10254,0.03248,2.15642,4.26102,1.48487,0.0009035,0.0009035,0.0009035
30,1202.13,2.11015,3.32641,1.48461,0.64797,0.1708,0.11401,0.03445,2.08411,4.08016,1.46973,0.000891125,0.000891125,0.000891125
31,1244.69,2.14589,3.33174,1.47364,0.65284,0.13596,0.10925,0.03109,2.28175,4.36186,1.5129,0.00087875,0.00087875,0.00087875
32,1287.9,2.12566,3.3403,1.46953,0.63334,0.1357,0.1043,0.02931,2.33774,4.26186,1.62232,0.000866375,0.000866375,0.000866375
33,1329.61,2.09734,3.28408,1.47071,0.67751,0.1421,0.11164,0.03437,2.35893,4.12876,1.69446,0.000854,0.000854,0.000854
34,1370.1,2.062,3.21327,1.45645,0.6461,0.14533,0.11605,0.03361,2.30102,4.20924,1.58216,0.000841625,0.000841625,0.000841625
35,1411.02,2.08005,3.18894,1.44237,0.64765,0.13502,0.10399,0.03115,2.28718,4.07416,1.56703,0.00082925,0.00082925,0.00082925
36,1451.32,2.0641,3.12375,1.44837,0.64547,0.14734,0.10778,0.03409,2.34299,4.06246,1.5882,0.000816875,0.000816875,0.000816875
