epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7787,3.18859,6.539,2.50806,0.56474,0.11027,0.05841,0.016,2.54727,24.952,1.93703,0.000405702,0.000405702,0.000405702
2,132.514,2.55025,4.87474,1.87048,0.5418,0.08699,0.03278,0.0087,2.36993,26.3323,1.91025,0.000814227,0.000814227,0.000814227
3,192.881,2.45542,4.68533,1.88755,0.57953,0.10149,0.0487,0.01335,2.50762,5.69635,1.89513,0.0012145,0.0012145,0.0012145
4,278.839,2.39373,4.46161,1.78127,0.05419,0.10702,0.04045,0.01115,2.40969,5.36159,1.83064,0.00121287,0.00121287,0.00121287
5,355.724,2.379,4.44659,1.74465,0.31016,0.08566,0.0322,0.00874,2.39133,5.86538,1.76058,0.0012005,0.0012005,0.0012005
6,421.343,2.33861,4.27896,1.7712,0.39865,0.12063,0.10159,0.0327,2.15556,4.55685,1.68609,0.00118812,0.00118812,0.00118812
7,501.766,2.36474,4.36667,1.80579,0.33315,0.11353,0.06312,0.02004,2.2459,4.90591,1.74515,0.00117575,0.00117575,0.00117575
8,561.22,2.28432,4.1964,1.7188,0.63135,0.12273,0.07715,0.024,2.27461,4.52114,1.67916,0.00116337,0.00116337,0.00116337
9,623.574,2.1955,6.91282,1.65514,0.60869,0.08921,0.06758,0.0203,2.14846,4.89539,1.61168,0.001151,0.001151,0.001151
10,676.71,2.26125,4.12525,1.73476,0.33085,0.12298,0.09014,0.02753,2.16124,5.3636,1.5985,0.00113863,0.00113863,0.00113863
11,727.5,2.25845,4.05713,1.68092,0.63119,0.12482,0.10743,0.03521,2.36845,4.26348,1.75772,0.00112625,0.00112625,0.00112625
12,778.56,2.22504,3.95908,1.69034,0.38315,0.11529,0.09291,0.03111,2.31654,4.04146,1.715,0.00111388,0.00111388,0.00111388
13,840.999,2.21768,3.8981,1.66638,0.88105,0.1147,0.1506,0.04845,2.21508,4.7744,1.68884,0.0011015,0.0011015,0.0011015
14,891.39,2.23704,3.95252,1.71222,0.32616,0.09388,0.05429,0.01558,2.14425,4.5656,1.62315,0.00108913,0.00108913,0.00108913
15,941.325,2.21424,3.84206,1.62876,0.41381,0.17181,0.12382,0.03771,2.27012,4.45698,1.70663,0.00107675,0.00107675,0.00107675
16,989.733,2.18356,3.79986,1.64491,0.1173,0.1235,0.08132,0.02159,2.24866,4.52823,1.63518,0.00106437,0.00106437,0.00106437
17,1061.92,2.16652,3.67974,1.62219,0.65114,0.20226,0.13539,0.04088,2.17911,4.09536,1.67747,0.001052,0.001052,0.001052
18,1121.18,2.17837,3.62939,1.63455,0.72879,0.14815,0.13819,0.04164,2.31449,3.74057,1.72226,0.00103962,0.00103962,0.00103962
19,1169.29,2.15908,3.58921,1.62056,0.47229,0.13227,0.13617,0.03974,2.11781,3.55059,1.59605,0.00102725,0.00102725,0.00102725
20,1218.88,2.13804,3.42313,1.59317,0.68458,0.1565,0.1371,0.04532,2.13611,3.75167,1.61562,0.00101488,0.00101488,0.00101488
21,1287.43,2.12,3.51343,1.6068,0.68081,0.10735,0.10053,0.02719,2.13308,4.12056,1.57331,0.0010025,0.0010025,0.0010025
22,1365.49,2.13269,3.35627,1.60638,0.1108,0.1079,0.07822,0.02237,2.33424,4.05369,1.72593,0.000990125,0.000990125,0.000990125
23,1434.78,2.11376,3.37663,1.6068,0.68116,0.17551,0.14724,0.04626,2.25898,3.3053,1.74943,0.00097775,0.00097775,0.00097775
24,1505.11,2.07625,3.40774,1.58874,0.1569,0.14477,0.11491,0.03219,2.31239,3.95031,1.70063,0.000965375,0.000965375,0.000965375
25,1571.95,2.05889,3.23043,1.54875,0.38186,0.10673,0.07504,0.02071,2.47801,3.64162,1.92246,0.000953,0.000953,0.000953
26,1639.32,2.0801,3.24748,1.57837,0.09961,0.12688,0.07872,0.02355,2.3275,3.9615,1.68677,0.000940625,0.000940625,0.000940625
27,1711.12,2.04465,3.15635,1.57856,0.37554,0.13167,0.0979,0.02845,2.35351,3.30516,1.76266,0.00092825,0.00092825,0.00092825
28,1779.4,2.04237,3.12086,1.56845,0.14383,0.12183,0.07276,0.0194,2.45684,3.77814,1.88215,0.000915875,0.000915875,0.000915875
29,1850.81,2.02487,3.11324,1.55119,0.48601,0.15302,0.12829,0.03554,2.32649,3.54523,1.84667,0.0009035,0.0009035,0.0009035
