epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2023,3.4399,4.15648,2.71526,0.00395,0.07238,0.00055,0.0001,3.44171,4.00333,2.53718,0.000175,0.000175,0.000175
2,58.6162,2.65775,3.37605,1.92091,0.01469,0.18771,0.03952,0.00847,2.65271,3.1636,1.64049,0.000358014,0.000358014,0.000358014
3,83.0894,2.60323,2.42221,1.9405,0.01501,0.05842,0.00397,0.00097,2.69563,4.38912,2.40675,0.000536387,0.000536387,0.000536387
4,106.815,2.49582,2.16302,1.84497,0.81309,0.03861,0.02224,0.00482,3.11908,3.48486,2.65438,0.00071012,0.00071012,0.00071012
5,131.656,2.53587,2.09025,1.75765,0.83503,0.08777,0.06488,0.01832,2.62499,2.47363,1.97028,0.000879212,0.000879212,0.000879212
6,156.947,2.48833,2.0168,1.76908,0.83792,0.10517,0.06839,0.0199,2.6382,2.47376,2.07402,0.00104366,0.00104366,0.00104366
7,182.536,2.48969,1.94999,1.76626,0.85123,0.11029,0.0815,0.02294,2.5572,2.27291,2.0706,0.00115719,0.00115719,0.00115719
8,208.739,2.46971,2.01137,1.74732,0.85807,0.121,0.0995,0.0276,2.50734,2.44222,1.91178,0.00114172,0.00114172,0.00114172
9,234.503,2.40517,1.90102,1.79136,0.87326,0.11924,0.10358,0.0293,2.5016,1.93136,1.97554,0.00112625,0.00112625,0.00112625
10,259.131,2.37094,1.89017,1.68031,0.83276,0.12231,0.07473,0.02202,2.44679,1.97599,1.86162,0.00111078,0.00111078,0.00111078
11,283.68,2.40313,1.88749,1.68469,0.85221,0.12257,0.08384,0.0219,2.48739,2.18216,1.89235,0.00109531,0.00109531,0.00109531
12,307.002,2.31716,1.89711,1.71384,0.8715,0.12078,0.1043,0.03045,2.38154,1.93353,1.95952,0.00107984,0.00107984,0.00107984
13,330.803,2.31306,1.90246,1.72523,0.87031,0.12723,0.10608,0.03117,2.34371,1.89759,1.86121,0.00106437,0.00106437,0.00106437
14,353.919,2.31674,1.82997,1.69833,0.09628,0.12078,0.08473,0.02354,2.3851,2.01979,1.74587,0.00104891,0.00104891,0.00104891
15,377.276,2.27733,1.80653,1.65726,0.85957,0.12743,0.10015,0.03064,2.34006,1.88728,1.76819,0.00103344,0.00103344,0.00103344
16,400.858,2.26073,1.80163,1.68063,0.61511,0.12359,0.1074,0.03281,2.27974,1.91981,1.78424,0.00101797,0.00101797,0.00101797
17,423.822,2.27227,1.80844,1.64916,0.11635,0.11336,0.10308,0.03097,2.30649,1.95237,1.82133,0.0010025,0.0010025,0.0010025
18,447,2.23404,1.78321,1.62963,0.10607,0.10594,0.08627,0.02362,2.42591,1.96992,1.73654,0.000987031,0.000987031,0.000987031
19,469.76,2.26909,1.75666,1.63414,0.3593,0.12502,0.09612,0.02841,2.32696,1.91113,1.70802,0.000971562,0.000971562,0.000971562
20,492.29,2.24615,1.83605,1.64779,0.36565,0.12282,0.1072,0.03191,2.31319,1.88757,1.70579,0.000956094,0.000956094,0.000956094
21,516.511,2.23494,1.78005,1.6255,0.86256,0.12386,0.10429,0.0318,2.34657,1.8999,1.7215,0.000940625,0.000940625,0.000940625
22,539.468,2.21359,1.77357,1.64629,0.1234,0.13219,0.11543,0.03687,2.25554,1.84073,1.7194,0.000925156,0.000925156,0.000925156
23,563.802,2.21515,1.75981,1.61114,0.07853,0.09442,0.06227,0.015,2.60489,2.33147,1.67291,0.000909688,0.000909688,0.000909688
24,588.693,2.21801,1.74711,1.62844,0.08993,0.11182,0.07228,0.02004,2.45831,2.14807,1.65927,0.000894219,0.000894219,0.000894219
25,613.057,2.17795,1.75968,1.63954,0.1218,0.12078,0.10594,0.03239,2.32843,1.90944,1.7151,0.00087875,0.00087875,0.00087875
26,638.183,2.21304,1.78396,1.65279,0.10351,0.10594,0.09177,0.02733,2.36576,1.99602,1.70501,0.000863281,0.000863281,0.000863281
27,660.827,2.17581,1.8022,1.62482,0.36251,0.09967,0.08856,0.0229,2.51809,2.02791,1.7185,0.000847813,0.000847813,0.000847813
28,683.643,2.18807,1.77034,1.60532,0.87296,0.13357,0.11066,0.03393,2.33476,1.83718,1.73636,0.000832344,0.000832344,0.000832344
29,705.667,2.13763,1.79905,1.63361,0.87833,0.13127,0.11814,0.03597,2.28524,1.83217,1.74467,0.000816875,0.000816875,0.000816875
30,729.863,2.19342,1.73167,1.59991,0.36468,0.12436,0.10451,0.03032,2.28858,1.94319,1.71909,0.000801406,0.000801406,0.000801406
31,752.737,2.13621,1.74364,1.5732,0.12635,0.13434,0.11751,0.03691,2.27589,1.87037,1.74972,0.000785938,0.000785938,0.000785938
32,775.698,2.15112,1.72165,1.61255,0.87618,0.12615,0.1427,0.04739,2.30457,1.85305,1.80926,0.000770469,0.000770469,0.000770469
33,799.007,2.14341,1.72267,1.62772,0.61732,0.11387,0.13119,0.04105,2.37221,1.92077,1.7368,0.000755,0.000755,0.000755
34,822.375,2.15667,1.71502,1.60675,0.87729,0.12334,0.1261,0.03968,2.32906,1.88369,1.74353,0.000739531,0.000739531,0.000739531
35,846.699,2.12193,1.73934,1.58863,0.87257,0.12232,0.10782,0.03161,2.38154,1.91209,1.7062,0.000724062,0.000724062,0.000724062
36,870.834,2.1289,1.67379,1.59561,0.36246,0.11643,0.09635,0.02582,2.46883,1.9557,1.70219,0.000708594,0.000708594,0.000708594
37,893.608,2.14384,1.69213,1.58928,0.8808,0.12487,0.13098,0.03612,2.34336,1.87603,1.73729,0.000693125,0.000693125,0.000693125
38,917.217,2.14832,1.67224,1.53807,0.36708,0.1195,0.1021,0.02964,2.42955,1.91509,1.7427,0.000677656,0.000677656,0.000677656
39,940.185,2.1324,1.613,1.55401,0.36477,0.1218,0.10387,0.02921,2.47892,1.89063,1.71578,0.000662188,0.000662188,0.000662188
40,964.214,2.15206,1.67711,1.55735,0.34758,0.12692,0.08573,0.02404,2.40426,1.99261,1.71805,0.000646719,0.000646719,0.000646719
41,987.713,2.12125,1.71414,1.56316,0.37153,0.13588,0.11034,0.03251,2.37085,1.85128,1.73851,0.00063125,0.00063125,0.00063125
42,1009.68,2.0951,1.66345,1.55051,0.87066,0.12385,0.1103,0.03375,2.34045,1.85779,1.74308,0.000615781,0.000615781,0.000615781
43,1031.85,2.09585,1.6958,1.56053,0.8737,0.11854,0.12867,0.04234,2.3621,1.90518,1.83439,0.000600313,0.000600313,0.000600313
44,1054.91,2.10447,1.63815,1.5639,0.87895,0.11771,0.12685,0.04019,2.45515,1.88522,1.844,0.000584844,0.000584844,0.000584844
45,1077.61,2.13093,1.62936,1.54716,0.86837,0.13306,0.13894,0.04622,2.41544,1.84898,1.7946,0.000569375,0.000569375,0.000569375
46,1099.24,2.10094,1.63447,1.55615,0.3682,0.12948,0.10692,0.03037,2.44889,1.90382,1.76689,0.000553906,0.000553906,0.000553906
47,1121.68,2.07418,1.62857,1.55442,0.36588,0.12948,0.10533,0.0314,2.38661,1.86167,1.72443,0.000538438,0.000538438,0.000538438
48,1144.77,2.08149,1.63993,1.52523,0.35326,0.11643,0.08959,0.02429,2.49455,1.96676,1.70309,0.000522969,0.000522969,0.000522969
