epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9889,3.79762,8.29669,2.79749,0.0001,0.00667,0,0,2.98033,7.85202,2.32088,0.00020004,0.00020004,0.00020004
2,54.8035,3.03585,7.15006,1.9575,0.00356,0.13446,0.00114,0.0002,2.59769,7.43828,1.96595,0.000412624,0.000412624,0.000412624
3,73.9094,2.77004,6.02015,1.73892,0.00473,0.08846,0.00362,0.00146,2.64712,8.74757,2.24838,0.000620917,0.000620917,0.000620917
4,95.7072,2.61217,5.3781,1.72158,0.6042,0.06461,0.0414,0.01001,2.37939,6.88737,2.00376,0.00082492,0.00082492,0.00082492
5,114.718,2.57165,5.2302,1.70006,0.58826,0.08708,0.04709,0.01058,2.35905,7.0636,2.02223,0.00102463,0.00102463,0.00102463
6,135.674,2.50383,5.19107,1.67134,0.57946,0.05414,0.03498,0.0086,2.79269,6.85193,2.22279,0.00122005,0.00122005,0.00122005
7,154.177,2.54021,5.25631,1.71839,0.00948,0.17064,0.02174,0.00598,3.12697,7.09012,2.5189,0.00141118,0.00141118,0.00141118
8,174.109,2.50246,5.08462,1.64087,0.61016,0.17978,0.0843,0.02557,2.47054,4.82928,2.00374,0.00155148,0.00155148,0.00155148
9,194.043,2.47922,5.02829,1.67962,0.60856,0.17135,0.09107,0.03016,2.35988,5.13964,1.82965,0.00153497,0.00153497,0.00153497
10,213.899,2.44077,4.7681,1.64553,0.61287,0.22191,0.09765,0.03203,2.20475,4.47981,1.64992,0.00151847,0.00151847,0.00151847
11,234.194,2.47795,4.88339,1.6202,0.61245,0.18258,0.08103,0.02782,2.29589,4.28484,1.76951,0.00150197,0.00150197,0.00150197
12,253.001,2.40133,4.83807,1.60134,0.61917,0.14888,0.08381,0.02811,2.37469,4.55198,1.87521,0.00148546,0.00148546,0.00148546
13,271.879,2.3947,4.67316,1.63835,0.64578,0.17416,0.1166,0.0393,2.43264,4.53214,1.84401,0.00146896,0.00146896,0.00146896
14,291.409,2.42394,4.78669,1.60671,0.20984,0.22682,0.11864,0.03745,2.37868,4.87006,1.79451,0.00145246,0.00145246,0.00145246
15,314.554,2.36849,4.74106,1.58877,0.15785,0.14253,0.10476,0.03677,2.3878,5.82954,1.77972,0.00143595,0.00143595,0.00143595
16,343.458,2.36945,4.57577,1.61952,0.1895,0.14079,0.1096,0.03913,2.30279,5.10237,1.79467,0.00141945,0.00141945,0.00141945
17,370.362,2.37668,4.57442,1.64868,0.17358,0.22616,0.1222,0.0406,2.36993,4.67563,1.72255,0.00140295,0.00140295,0.00140295
18,396.811,2.34314,4.41162,1.60219,0.21037,0.19311,0.14077,0.04699,2.29655,4.85545,1.75006,0.00138644,0.00138644,0.00138644
19,420.343,2.34292,4.44618,1.62439,0.16054,0.22874,0.15156,0.0459,2.30625,5.00351,1.82492,0.00136994,0.00136994,0.00136994
20,440.903,2.36021,4.49115,1.58656,0.15956,0.35592,0.13184,0.04192,2.29596,8.46633,1.73136,0.00135344,0.00135344,0.00135344
21,460.18,2.3066,4.3708,1.54869,0.214,0.21906,0.142,0.04576,2.28922,4.75695,1.75546,0.00133693,0.00133693,0.00133693
22,481.944,2.33857,4.40702,1.5721,0.19694,0.18603,0.11065,0.03871,2.2401,5.79897,1.75065,0.00132043,0.00132043,0.00132043
23,503.341,2.30665,4.41157,1.60768,0.2552,0.27592,0.17211,0.05971,2.13125,4.74292,1.69661,0.00130393,0.00130393,0.00130393
24,522.829,2.32832,4.37057,1.58952,0.24154,0.31839,0.19431,0.06178,2.1662,5.4165,1.71564,0.00128742,0.00128742,0.00128742
25,544.087,2.28536,4.24614,1.57188,0.24053,0.25277,0.18089,0.05902,2.24053,4.79584,1.78444,0.00127092,0.00127092,0.00127092
26,565.776,2.33861,4.19077,1.53337,0.2626,0.30124,0.17532,0.05485,2.47079,4.79947,1.93671,0.00125442,0.00125442,0.00125442
27,586.876,2.27183,4.13228,1.55206,0.23731,0.36161,0.187,0.06003,2.31009,4.94067,1.76931,0.00123791,0.00123791,0.00123791
28,606.664,2.28725,4.20428,1.54733,0.25345,0.3412,0.18809,0.05926,2.23502,5.18845,1.72254,0.00122141,0.00122141,0.00122141
29,629.731,2.29652,4.24025,1.55969,0.22904,0.32895,0.19621,0.05731,2.24775,4.50806,1.74438,0.00120491,0.00120491,0.00120491
30,655.836,2.2439,4.04805,1.54551,0.26413,0.28509,0.19517,0.05843,2.21255,4.86647,1.74576,0.0011884,0.0011884,0.0011884
31,682.359,2.2768,4.15668,1.58201,0.21377,0.28824,0.16468,0.05006,2.25653,4.96721,1.80169,0.0011719,0.0011719,0.0011719
32,709.045,2.26085,4.06121,1.53975,0.2284,0.32702,0.16932,0.05533,2.09454,5.9416,1.70359,0.0011554,0.0011554,0.0011554
33,736.117,2.269,4.07047,1.53052,0.28707,0.323,0.20662,0.07254,2.16746,4.14931,1.6969,0.00113889,0.00113889,0.00113889
34,764.819,2.26805,3.98055,1.52787,0.40559,0.29698,0.20595,0.0683,2.21798,3.75045,1.72317,0.00112239,0.00112239,0.00112239
35,791.083,2.24002,4.142,1.54786,0.27835,0.29851,0.20625,0.06877,2.24381,4.16641,1.77095,0.00110589,0.00110589,0.00110589
36,817.068,2.29487,4.01361,1.50522,0.24274,0.27345,0.17101,0.06099,2.2786,5.03713,1.77153,0.00108938,0.00108938,0.00108938
37,844.316,2.21051,3.99924,1.51341,0.26314,0.21273,0.1749,0.05432,2.3741,5.41917,1.84147,0.00107288,0.00107288,0.00107288
38,871.826,2.18348,3.92257,1.4907,0.26453,0.24154,0.16984,0.05661,2.3461,4.90648,1.89083,0.00105638,0.00105638,0.00105638
39,900.515,2.21076,3.81674,1.49431,0.26672,0.29487,0.18366,0.05356,2.42881,5.05048,1.94117,0.00103987,0.00103987,0.00103987
40,929.169,2.25835,3.86779,1.51953,0.2657,0.27592,0.18434,0.05902,2.48715,5.42437,1.96327,0.00102337,0.00102337,0.00102337
41,958.338,2.19559,3.88853,1.4913,0.25536,0.32262,0.19071,0.05862,2.48796,4.3938,1.95148,0.00100687,0.00100687,0.00100687
42,985.515,2.20549,3.84512,1.4915,0.34208,0.33331,0.21663,0.07068,2.28197,3.90555,1.78995,0.000990365,0.000990365,0.000990365
43,1011.02,2.18547,3.87068,1.51205,0.25549,0.38675,0.22557,0.07305,2.30086,4.11844,1.76267,0.000973861,0.000973861,0.000973861
44,1039.63,2.17746,3.8353,1.51836,0.31164,0.32509,0.21981,0.06993,2.29804,3.97477,1.75821,0.000957358,0.000957358,0.000957358
45,1066.92,2.18447,3.7751,1.48076,0.29692,0.39706,0.25404,0.08201,2.27821,3.75305,1.78487,0.000940855,0.000940855,0.000940855
46,1095.86,2.21377,3.79878,1.49357,0.30209,0.35738,0.22743,0.07021,2.35396,4.03743,1.80866,0.000924352,0.000924352,0.000924352
47,1125.19,2.17746,3.73381,1.50188,0.2531,0.37775,0.21261,0.06968,2.39699,4.07513,1.8018,0.000907848,0.000907848,0.000907848
