epoch,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),train/box_loss,train/cls_loss,val/box_loss,val/cls_loss
1,0.0,0.0,0.0,0.0,1.33625,1.72734,1.33625,1.72734
2,0.00404,0.10959,0.00441,0.00071,1.04692,1.28669,1.04692,1.28669
3,0.0073,0.19795,0.0312,0.00833,0.9311,1.76712,0.9311,1.76712
4,0.00735,0.19932,0.04247,0.01108,0.84331,1.63717,0.84331,1.63717
5,0.0078,0.21164,0.04033,0.01181,0.81374,1.55094,0.81374,1.55094
6,0.0077,0.2089,0.03406,0.00932,0.8112,1.55567,0.8112,1.55567
7,0.00881,0.22603,0.0603,0.0169,0.77896,1.19443,0.77896,1.19443
8,0.00886,0.22466,0.0493,0.01432,0.78926,1.44335,0.78926,1.44335
9,0.00906,0.22877,0.07408,0.02075,0.75695,1.20021,0.75695,1.20021
10,0.01158,0.24601,0.06756,0.02034,0.78363,1.33234,0.78363,1.33234
11,0.00972,0.22123,0.05853,0.01728,0.76591,1.28174,0.76591,1.28174
12,0.01079,0.21781,0.06697,0.01913,0.76614,1.17927,0.76614,1.17927
13,0.0103,0.22945,0.06867,0.02306,0.76406,1.28516,0.76406,1.28516
14,0.01303,0.25702,0.06685,0.02202,0.77521,1.28854,0.77521,1.28854
15,0.01,0.22808,0.0586,0.01963,0.75425,1.26566,0.75425,1.26566
16,0.00947,0.22534,0.0596,0.01793,0.75111,1.33627,0.75111,1.33627
17,0.05303,0.24114,0.08138,0.02428,0.74673,1.19812,0.74673,1.19812
18,0.03814,0.23703,0.07934,0.02407,0.72996,1.21339,0.72996,1.21339
19,0.02853,0.23703,0.06686,0.02058,0.75359,1.24685,0.75359,1.24685
20,0.02138,0.29417,0.06906,0.02168,0.73858,1.18129,0.73858,1.18129
21,0.01123,0.22877,0.06774,0.02101,0.7305,1.26672,0.7305,1.26672
22,0.02006,0.25702,0.07432,0.02329,0.74176,1.19371,0.74176,1.19371
23,0.01964,0.22949,0.07733,0.02501,0.72868,1.21694,0.72868,1.21694
24,0.01521,0.23429,0.07975,0.02453,0.73934,1.18082,0.73934,1.18082
25,0.01649,0.24049,0.06435,0.02022,0.74224,1.24379,0.74224,1.24379
26,0.01717,0.27426,0.07345,0.0213,0.73659,1.20369,0.73659,1.20369
27,0.0138,0.31488,0.05709,0.01784,0.75394,1.18174,0.75394,1.18174
28,0.01544,0.25149,0.05988,0.01886,0.75245,1.1776,0.75245,1.1776
29,0.01385,0.26117,0.06661,0.02121,0.74646,1.20905,0.74646,1.20905
30,0.01798,0.27837,0.06903,0.0206,0.74574,1.17353,0.74574,1.17353
31,0.01385,0.32177,0.0731,0.02353,0.74431,1.19808,0.74431,1.19808
32,0.01372,0.30178,0.06192,0.01891,0.7499,1.27313,0.7499,1.27313
33,0.01405,0.31279,0.05706,0.01856,0.75304,1.17041,0.75304,1.17041
34,0.01365,0.30944,0.0713,0.01846,0.76279,1.1762,0.76279,1.1762
35,0.01725,0.28526,0.07756,0.025,0.74951,1.14996,0.74951,1.14996
36,0.01633,0.24392,0.06808,0.02158,0.73431,1.14066,0.73431,1.14066
37,0.01555,0.22538,0.06217,0.02045,0.73577,1.2568,0.73577,1.2568
38,0.0251,0.23981,0.08411,0.02357,0.74864,1.25896,0.74864,1.25896
39,0.02286,0.24118,0.08817,0.02799,0.73613,1.27748,0.73613,1.27748
40,0.01726,0.25565,0.08499,0.02544,0.74929,1.23825,0.74929,1.23825
41,0.01695,0.25017,0.076,0.02332,0.75701,1.2078,0.75701,1.2078
42,0.02874,0.25774,0.07971,0.02369,0.756,1.23712,0.756,1.23712
43,0.01572,0.22264,0.06998,0.02273,0.74448,1.19127,0.74448,1.19127
44,0.01773,0.26532,0.06762,0.02073,0.75692,1.13578,0.75692,1.13578
45,0.01547,0.24122,0.06786,0.02046,0.7606,1.17499,0.7606,1.17499
46,0.01745,0.28184,0.07477,0.02336,0.7537,1.15169,0.7537,1.15169
47,0.01808,0.28124,0.06943,0.02141,0.76821,1.18818,0.76821,1.18818
48,0.01811,0.29913,0.08098,0.02419,0.78863,1.12224,0.78863,1.12224
49,0.01639,0.29429,0.07854,0.02217,0.79362,1.14008,0.79362,1.14008
50,0.02242,0.25911,0.07552,0.02435,0.75077,1.16348,0.75077,1.16348
51,0.01789,0.27289,0.06647,0.02007,0.76665,1.15773,0.76665,1.15773
52,0.02051,0.54494,0.07518,0.0218,0.75722,1.19834,0.75722,1.19834
53,0.02448,0.527,0.08024,0.02368,0.75563,1.22869,0.75563,1.22869
54,0.02248,0.26943,0.06994,0.02131,0.75017,1.27479,0.75017,1.27479
55,0.02239,0.53389,0.08609,0.02533,0.74492,1.21649,0.74492,1.21649
56,0.02149,0.50843,0.08253,0.02292,0.76425,1.18918,0.76425,1.18918
57,0.02251,0.2681,0.07348,0.02214,0.77683,1.17132,0.77683,1.17132
58,0.02418,0.25162,0.07474,0.02113,0.79199,1.2425,0.79199,1.2425
59,0.01503,0.30739,0.07006,0.02033,0.78019,1.21045,0.78019,1.21045
60,0.01702,0.25778,0.07179,0.01982,0.77272,1.1845,0.77272,1.1845
61,0.01371,0.211,0.06038,0.017,0.81356,1.25866,0.81356,1.25866
62,0.01874,0.51544,0.06887,0.01973,0.81009,1.16389,0.81009,1.16389
63,0.02032,0.23647,0.07356,0.02004,0.78589,1.22685,0.78589,1.22685
64,0.02318,0.24956,0.06773,0.01894,0.81845,1.2726,0.81845,1.2726
65,0.0273,0.50919,0.07145,0.02048,0.78781,1.21503,0.78781,1.21503
66,0.02535,0.24469,0.07995,0.02242,0.77822,1.18858,0.77822,1.18858
67,0.02788,0.23643,0.08022,0.02242,0.7746,1.23215,0.7746,1.23215
68,0.02842,0.23848,0.07555,0.02027,0.79558,1.21001,0.79558,1.21001
69,0.0196,0.22954,0.06926,0.01909,0.79851,1.22469,0.79851,1.22469
70,0.03109,0.26746,0.07715,0.02147,0.77642,1.21006,0.77642,1.21006
71,0.01959,0.22954,0.06884,0.01956,0.79861,1.18015,0.79861,1.18015
72,0.02305,0.25428,0.07719,0.02275,0.77224,1.19946,0.77224,1.19946
73,0.03918,0.2268,0.06878,0.0193,0.80571,1.22014,0.80571,1.22014
74,0.02113,0.2654,0.06959,0.02102,0.81577,1.1224,0.81577,1.1224
75,0.03199,0.25158,0.08252,0.02315,0.78449,1.2109,0.78449,1.2109
76,0.01713,0.2199,0.06859,0.01984,0.78746,1.18972,0.78746,1.18972
77,0.02812,0.24743,0.06747,0.01836,0.80199,1.26015,0.80199,1.26015
78,0.03596,0.24747,0.07956,0.02215,0.79524,1.23654,0.79524,1.23654
79,0.04374,0.2764,0.08107,0.02141,0.79224,1.31773,0.79224,1.31773
80,0.04008,0.25162,0.05825,0.01539,0.80873,1.41845,0.80873,1.41845
81,0.03071,0.27289,0.08823,0.02359,0.79351,1.23943,0.79351,1.23943
82,0.02295,0.2571,0.07566,0.02001,0.81343,1.17349,0.81343,1.17349
83,0.03663,0.26056,0.07917,0.02054,0.80987,1.2942,0.80987,1.2942
84,0.02358,0.24888,0.07552,0.01956,0.84882,1.17828,0.84882,1.17828
85,0.02517,0.24541,0.07195,0.01825,0.82835,1.20609,0.82835,1.20609
86,0.03128,0.50641,0.07677,0.01986,0.8173,1.25386,0.8173,1.25386
87,0.02711,0.25235,0.07372,0.01978,0.80353,1.26989,0.80353,1.26989
88,0.03909,0.50573,0.07939,0.02162,0.79064,1.19241,0.79064,1.19241
89,0.03273,0.27499,0.08786,0.02378,0.8083,1.21953,0.8083,1.21953
90,0.02712,0.27777,0.08504,0.02363,0.81215,1.21981,0.81215,1.21981
91,0.02247,0.2523,0.07831,0.02009,0.83002,1.24598,0.83002,1.24598
92,0.02897,0.2633,0.0874,0.02167,0.81632,1.23177,0.81632,1.23177
93,0.02484,0.24884,0.06994,0.01917,0.80222,1.20538,0.80222,1.20538
94,0.02608,0.23574,0.07438,0.01939,0.80202,1.23773,0.80202,1.23773
95,0.02316,0.24884,0.07622,0.01904,0.81217,1.16032,0.81217,1.16032
96,0.03273,0.25984,0.08571,0.02365,0.80921,1.26453,0.80921,1.26453
97,0.02703,0.2523,0.08373,0.02185,0.81688,1.20651,0.81688,1.20651
98,0.01989,0.22345,0.0711,0.01867,0.83209,1.18477,0.83209,1.18477
99,0.01885,0.22692,0.06712,0.01744,0.84428,1.26779,0.84428,1.26779
100,0.0303,0.25641,0.08152,0.02077,0.81436,1.19011,0.81436,1.19011
